"Country","Region","Happiness Rank","Happiness_Score","Economy","Family","Health (Life Expectancy)","Freedom","Trust (Government Corruption)","Generosity","Dystopia Residual","Happiness"
"Belarus","","67","5.5689997673035","1.156557559967","1.4449452161789","0.63771426677704","0.29540026187897","0.15513750910759","0.15631382167339","1.7232329845429","1"
"Belarus","Central and Eastern Europe","61","5.802","1.13062","1.04993","0.63104","0.29091","0.17457","0.13942","2.38582","0"
"Belarus","Central and Eastern Europe","59","5.813","1.03192","1.23289","0.73608","0.37938","0.1909","0.11046","2.1309","0"
"Belgium","","17","6.8909997940064","1.4637807607651","1.4623126983643","0.81809186935425","0.53977072238922","0.23150333762169","0.25134313106537","2.124210357666","1"
"Belgium","","18","6.923","1.356","1.504","0.986","0.473","0.21","0.16","","1"
"Belgium","","16","6.927","1.324","1.483","0.894","0.583","0.24","0.188","","1"
"Belgium","Western Europe","18","6.929","1.42539","1.05249","0.81959","0.51354","0.26248","0.2424","2.61355","1"
"Belgium","Western Europe","19","6.937","1.30782","1.28566","0.89667","0.5845","0.2254","0.2225","2.41484","1"
"Belize","","50","5.9559998512268","0.90797531604767","1.081417798996","0.45019176602364","0.54750937223434","0.24001564085484","0.096581071615219","2.6319556236267","1"
"Belize","","49","5.956","0.807","1.101","0.474","0.593","0.089","0.183","","1"
"Belize","Latin America and Caribbean","52","5.956","0.87616","0.68655","0.45569","0.51231","0.10771","0.23684","3.08039","0"
"Benin","Sub-Saharan Africa","155","3.34","0.28665","0.35386","0.3191","0.4845","0.0801","0.1826","1.63328","0"
"Benin","Sub-Saharan Africa","153","3.484","0.39499","0.10419","0.21028","0.39747","0.06681","0.2018","2.10812","0"
"Benin","","143","3.6570000648498","0.43108540773392","0.43529984354973","0.20993021130562","0.42596277594566","0.20794846117496","0.060929015278816","1.8856309652329","0"
"Benin","","136","4.141","0.378","0.372","0.24","0.44","0.067","0.163","","0"
"Benin","","102","4.883","0.393","0.437","0.397","0.349","0.082","0.175","","0"
"Bhutan","","97","5.0110001564026","0.88541638851166","1.3401265144348","0.4958792924881","0.50153768062592","0.47405454516411","0.17338038980961","1.1401844024658","0"
"Bhutan","","95","5.082","0.813","1.321","0.604","0.457","0.167","0.37","","0"
"Bhutan","","97","5.082","0.796","1.335","0.527","0.541","0.171","0.364","","1"
"Bhutan","Southern Asia","84","5.196","0.8527","0.90836","0.49759","0.46074","0.1616","0.48546","1.82916","0"
"Bhutan","Southern Asia","79","5.253","0.77042","1.10395","0.57407","0.53206","0.15445","0.47998","1.63794","0"
"Bolivia","","62","5.752","0.751","1.223","0.508","0.606","0.054","0.141","","1"
"Bolivia","","61","5.779","0.776","1.209","0.706","0.511","0.064","0.137","","0"
"Bolivia","Latin America and Caribbean","59","5.822","0.79422","0.83779","0.4697","0.50961","0.07746","0.21698","2.91635","0"
"Bolivia","","58","5.8229999542236","0.83375656604767","1.2276190519333","0.47363024950027","0.55873292684555","0.22556072473526","0.06047772616148","2.4432790279388","1"
"Bolivia","Latin America and Caribbean","51","5.89","0.68133","0.97841","0.5392","0.57414","0.088","0.20536","2.82334","0"
"Bosnia and Herzegovina","Central and Eastern Europe","96","4.949","0.83223","0.91916","0.79081","0.09245","0.00227","0.24808","2.06367","0"
"Bosnia and Herzegovina","","93","5.129","0.915","1.078","0.758","0.28","","0.216","","1"
"Bosnia and Herzegovina","Central and Eastern Europe","87","5.163","0.93383","0.64367","0.70766","0.09511","0","0.29889","2.48406","0"
"Bosnia and Herzegovina","","90","5.1820001602173","0.98240941762924","1.0693359375","0.70518630743027","0.20440317690373","0.32886749505997","","1.892172574997","0"
"Bosnia and Herzegovina","","78","5.386","0.945","1.212","0.845","0.212","0.006","0.263","","0"
"Botswana","","148","3.488","1.041","1.145","0.538","0.455","0.1","0.025","","0"
"Botswana","","146","3.59","1.017","1.174","0.417","0.557","0.092","0.042","","0"
"Botswana","","142","3.7660000324249","1.1220941543579","1.2215549945831","0.34175550937653","0.50519633293152","0.099348448216915","0.098583199083805","0.3779137134552","0"
"Botswana","Sub-Saharan Africa","137","3.974","1.09426","0.89186","0.34752","0.44089","0.10769","0.12425","0.96741","0"
"Botswana","Sub-Saharan Africa","128","4.332","0.99355","1.10464","0.04776","0.49495","0.12474","0.10461","1.46181","0"
"Brazil","","32","6.3","1.004","1.439","0.802","0.39","0.086","0.099","","1"
"Brazil","","28","6.419","0.986","1.474","0.675","0.493","0.088","0.11","","1"
"Brazil","","22","6.6350002288818","1.1073532104492","1.4313060045242","0.61655235290527","0.43745374679565","0.16234989464283","0.11109276115894","2.7692670822144","1"
"Brazil","Latin America and Caribbean","17","6.952","1.08754","1.03938","0.61415","0.40425","0.14166","0.15776","3.50733","1"
"Brazil","Latin America and Caribbean","16","6.983","0.98124","1.23287","0.69702","0.49049","0.17521","0.14574","3.26001","1"
"Bulgaria","Central and Eastern Europe","129","4.217","1.11306","0.92542","0.67806","0.21219","0.00615","0.12793","1.15377","0"
"Bulgaria","Central and Eastern Europe","134","4.218","1.01216","1.10614","0.76649","0.30587","0.00872","0.11921","0.89991","0"
"Bulgaria","","105","4.7140002250671","1.1614590883255","1.4343794584274","0.70821768045425","0.28923171758652","0.11317769438028","0.011051530949771","0.99613928794861","0"
"Bulgaria","","100","4.933","1.054","1.515","0.712","0.359","0.009","0.064","","0"
"Bulgaria","","97","5.011","1.092","1.513","0.815","0.311","0.004","0.081","","0"
"Burkina Faso","Sub-Saharan Africa","152","3.587","0.25812","0.85188","0.27125","0.39493","0.12832","0.21747","1.46494","0"
"Burkina Faso","Sub-Saharan Africa","145","3.739","0.31995","0.63054","0.21297","0.3337","0.12533","0.24353","1.87319","0"
"Burkina Faso","","134","4.0320000648498","0.3502277135849","1.043280005455","0.21584425866604","0.32436785101891","0.25086468458176","0.12032810598612","1.7272129058838","0"
